0,-17
1,-16
2,-14
3,-15
4,-19
5,-18
6,-20
7,-20
8,-20
9,-17
10,-12
11,-9
12,-11
13,-12
14,-14
15,-16
16,-17
17,-16
18,-14
19,-8
20,-10
21,-9
22,-8
23,-8
24,-11
25,-12
26,-11
27,-11
28,-11
29,-9
30,-8
31,-9
32,-8
33,-6
34,-7
35,-9
36,-11
37,-11
38,-10
39,-4
40,-3
41,-2
42,1
43,0
44,-1
45,-5
46,-7
47,-6
48,-6
49,-3
50,-1
51,0
52,2
53,4
54,0
55,-1
56,1
57,1
58,2
59,5
60,8
61,11
62,12
63,9
64,8
65,9
66,8
67,8
68,14
69,15
70,18
71,21
72,21
73,23
74,21
75,20
76,20
77,19
78,25
79,31
80,32
81,32
82,35
83,35
84,31
85,32
86,30
87,30
88,32
89,36
90,38
91,38
92,40
93,38
94,36
95,35
96,33
97,32
98,33
99,31
100,33
101,33
102,34
103,29
104,27
105,22
106,18
107,14
108,15
109,17
110,17
111,14
112,14
113,10
114,8
115,5
116,1
117,-1
118,0
119,0
120,1
121,2
122,0
123,2
124,3
125,6
126,7
127,9
128,13
129,17
130,18
131,24
132,23
133,18
134,17
135,14
136,16
137,16
138,18
139,19
140,22
141,23
142,26
143,23
144,20
145,19
146,19
147,19
148,20
149,22
150,24
151,25
152,28
153,27
154,23
155,23
156,23
157,23
158,25
159,26
160,25
161,28
162,28
163,28
164,26
165,21
166,20
167,20
168,26
169,28
170,27
171,30
172,29
173,26
174,25
175,25
176,23
177,24
178,25
179,28
180,28
181,30
182,29
183,28
184,27
185,28
186,25
187,25
188,27
189,29
190,29
191,28
192,27
193,24
194,24
195,22
196,23
197,24
198,27
199,27
200,26
201,27
202,26
203,22
204,22
205,22
206,21
207,23
208,25
209,26
210,23
211,24
212,23
213,21
214,20
215,21
216,18
217,20
218,21
219,22
220,24
221,27
222,24
223,22
224,19
225,20
226,19
227,20
228,22
229,22
230,23
231,23
232,19
233,16
234,15
235,14
236,14
237,15
238,18
239,17
240,20
241,25
242,22
243,21
244,15
245,16
246,13
247,15
248,16
249,18
250,20
251,23
252,21
253,18
254,17
255,18
256,17
257,19
258,22
259,27
260,26
261,27
262,25
263,24
264,22
265,21
266,19
267,22
268,28
269,27
270,28
271,28
272,26
273,25
274,24
